id	Targets	Context	Definition	POS	Type
en.trial.1	beautiful	It 's beautiful outside , let 's go for a walk .	Pleasant ; clear .	adjective	synonym/antonym-based
en.trial.2	cocktail	a cocktail of illegal drugs	A mixture of other substances or things .	noun	hypernym-based
en.trial.3	institutionalized	It is very difficult to get bureaucracies to abandon their institutionalized practices .	Having been established as an institution .	adjective	paraphrastic
en.trial.4	menial	The world was awake to the 2nd of May , but Mayfair is not the world , and even the menials of Mayfair lie long abed .	A servant , especially a domestic servant .	noun	hypernym-based
en.trial.5	seek	Not long ago , it was difficult to produce photographs of tiny creatures with every part in focus.A photo processing technique called focus stacking has changed that . Developed as a tool to electronically combine the sharpest bits of multiple digital images , focus stacking is a boon to biologists seeking full focus on a micron scale .	To try to find ; to look for ; to search for .	verb	paraphrastic
en.trial.6	embed	After some unnecessary , producer-pleasing expository text , he opens the movie in close-up on the back of a camo combat helmet Sharpied in Vietnam-style graffiti , effectively embedding the viewer with a bedraggled squad of human soldiers—armed with assault rifles , sawed-off shotguns , and crossbows—as they inch toward the stake-wall of Caesar 's compound in an attempt to bust through , only to be met with deadly clumps of Amazonian arrows and smoky flung projectiles .	To include in surrounding matter .	verb	hypernym-based
en.trial.7	schooner	Foaming schooners of beer grew ever larger and more numerous as the crimson February suns went to their rest .	A glass of beer , of a size which varies between states ( Wikipedia ) .	noun	hypernym-based
en.trial.8	stalwart	For observe , it was an assemblage of two hundred thousand young men—not simpering , dainty , kid-gloved weaklings , but stalwart , muscular , dauntless young braves , brimful of push and energy , and royally endowed with every attribute that goes to make up a peerless and magnificent manhood—the very pick and choice of the world 's glorious ones .	Firmly or solidly built .	adjective	paraphrastic
en.trial.9	nonexistent	His social skills are nonexistent : he chewed with his mouth open all through dinner .	Not existent ; not real .	adjective	synonym/antonym-based
en.trial.10	fiber	The cloth is made from strange , somewhat rough fiber .	A material in the form of fibers .	noun	hypernym-based
en.trial.11	scraggy	He is twenty years younger , but has something of the same spare , scraggy physique .	Lean or thin , scrawny .	adjective	synonym/antonym-based
en.trial.12	candlestick	Caught there on a candlesticked overhang of ice , Quaid turned to peer down at his buddy .	To form a tall , thin , tapering shape similar to a candle .	verb	hypernym-based
en.trial.13	pattern	There were no files matching the pattern * .txt .	A text string containing wildcards , used for matching .	noun	hypernym-based
en.trial.14	seat	There are two hundred seats in this classroom .	A place in which to sit .	noun	hypernym-based
en.trial.15	coco	I turn round and round to see the high mountains , the thick coco trees .	Coconut palm .	noun	synonym/antonym-based
