id	word	pos	date	period	cluster	target_indices	Targets	Context
1929-1965_kjemi_267	kjemi	NN	1929	1929-1965	0	182:187	kjemi	"I og 11, NTH Elektroteknisk laboratorium 111, Svakstrømlaboratoriet Farmasøytisk institutt Farmasøytisk institutt Avd A, Galenisk farmasi Farmasøytisk institutt Avd. B, Farmasøytisk kjemi Farmasøytisk institutt Avd. C, Farmakognosi Farmasøytisk institutt Avd. D .Bakteriologisk avdeling Farmasøytisk institutt Avd. E, Biologi Farmasøytisk institutt Avd. F, Botanisk avdeling Fiskeridirektoratets Havforskingsinstitutt Fiskeridirektoratets Kjemisk-Tekniske Forskingsinstitutt, ""Fiskerilaboratoriet"" Fjellsprengningsutvalget 179 23 Forskningsrådenes fellesutvalg, FFU 8 Innholdsfortegnelse fortsart Side Forsvarets forskningsinstitutt, FFI Forsøkslaboratoriet for maling og laKk Fysisk institutt, Universitetet i Bergen Fysisk institutt, NTH 184 35 105 160 Fysisk institutt, Universitetet i Oslo 6c Fysisk institutt Avd ."
1929-1965_kjemi_254	kjemi	NN	1929	1929-1965	0	49:54	kjemi	Undervisning og vitenskapelig arbeid i teoretisk kjemi .
1929-1965_kjemi_302	kjemi	NN	1929	1929-1965	0	79:84	kjemi	I orsnål ned Sjøfartshistorie 3 3 2 yysk engelsk Fiatenatikk 11 4 5 Fy si Mi 5 kjemi 3 elektroteknikk og elektronisk navigasj. 6 8 6 IL Navigasjon Skipslaere (skipsbygging, lastelaere eto.)- rictcorologi/Oseanografi 2 4 Undervisningslaere Orienteringsfag 3 7 j 36 36 lOHSLu.Ii MED SJØFARTSHISTORIE Målsetting:
1929-1965_kjemi_257	kjemi	NN	1929	1929-1965	0	134:139	kjemi	Avd, Kjemi Utbygget med henblikk på forskning for forsvaret innen alle grener av kjemien, Avdelingen omfatter seksjoner for uorganisk kjemi. analytisk kjemi organisk kjemi , fysikalsk kjemi .. og har en kjemisk teknisk forsøksstasjon til rådighet. Ca. 30% av avdelingens kapasitet nyttes til service for for - svaret (spes. korrosjon og metallurgiske problemer)
1929-1965_kjemi_0	kjemi	NN	1929	1929-1965	0	383:388	kjemi	Borgerdyds_kolen (stiftet 1787) var den første danske skole som forente undervisning i realfag med undervisning i latin; skolen består ennå. Fra samme tid skriver seg «Selskabet for Efterslaegten», hvis mål skulle vaere 1) å la avholde lettfattelige forelesninger over slike emner som i regelen ikke behandles i den alminnelige undervisning (den naturlige religion, anatomi, fysikk, kjemi m. m.); 2) a opprette et bibliotek til bruk for de unge; 3) 2 utbre nyttig lesning blant almuen, og hjelpe til å få utgitt skrifter som er tjenlige til dette.
1929-1965_kjemi_106	kjemi	NN	1929	1929-1965	0	36:41	kjemi	I Uuncden og Qottingen studerte dan kjemi.
1929-1965_kjemi_190	kjemi	NN	1929	1929-1965	0	90:95	kjemi	Dette ytrer sig på den måte, at jentene liker å stelle med planter, men fag som fysikk og kjemi vekker sjelden deres interesse.
1929-1965_kjemi_222	kjemi	NN	1929	1929-1965	0	27:32	kjemi	Samarbeid mellom fysikk og kjemi på den ene side og de andre grener av naturfaget på den annen side, er nevnt før. Likeså er det en nøye sammenheng mellom denne del av naturfaget og geografi og husstell. IV. Arbeidsplan for klassene. 2 Innleiing.
1929-1965_kjemi_247	kjemi	NN	1929	1929-1965	0	52:57	kjemi	Elementaer undervisning i kvalitativ og kvantitativ kjemi Videregående undervisning i høytemperatur - og isotop- kjem i .
1929-1965_kjemi_289	kjemi	NN	1929	1929-1965	0	160:165	kjemi	Kjemisk og biokjemisk forskning over stoffproduksjonen i havet er imidlertid helt udekket, og dette er mer enn betenkelig i vår tid med dens veldige oppsving i kjemi og biokjemi på en rekke andre feiter som vedrører utnyttelse av naturens ressurser.
