id	Targets	Context	Definition	POS	Type	Real_Contexts	Generated_Definition
en.trial.1	beautiful	It 's beautiful outside , let 's go for a walk .	Pleasant ; clear .	adjective	synonym/antonym-based	It 's beautiful outside , let 's go for a walk . What is the definition of beautiful?	Very good ; excellent ; excellent.
en.trial.2	cocktail	a cocktail of illegal drugs	A mixture of other substances or things .	noun	hypernym-based	a cocktail of illegal drugs What is the definition of cocktail?	A mixture of different substances.
en.trial.3	institutionalized	It is very difficult to get bureaucracies to abandon their institutionalized practices .	Having been established as an institution .	adjective	paraphrastic	It is very difficult to get bureaucracies to abandon their institutionalized practices . What is the definition of institutionalized?	Having been established in a particular institution.
en.trial.4	menial	The world was awake to the 2nd of May , but Mayfair is not the world , and even the menials of Mayfair lie long abed .	A servant , especially a domestic servant .	noun	hypernym-based	The world was awake to the 2nd of May , but Mayfair is not the world , and even the menials of Mayfair lie long abed . What is the definition of menial?	A person who is not a professional, professional, or professional.
en.trial.5	seek	Not long ago , it was difficult to produce photographs of tiny creatures with every part in focus.A photo processing technique called focus stacking has changed that . Developed as a tool to electronically combine the sharpest bits of multiple digital images , focus stacking is a boon to biologists seeking full focus on a micron scale .	To try to find ; to look for ; to search for .	verb	paraphrastic	Not long ago , it was difficult to produce photographs of tiny creatures with every part in focus.A photo processing technique called focus stacking has changed that . Developed as a tool to electronically combine the sharpest bits of multiple digital images , focus stacking is a boon to biologists seeking full focus on a micron scale . What is the definition of seek?	To want, to desire.
en.trial.6	embed	After some unnecessary , producer-pleasing expository text , he opens the movie in close-up on the back of a camo combat helmet Sharpied in Vietnam-style graffiti , effectively embedding the viewer with a bedraggled squad of human soldiers—armed with assault rifles , sawed-off shotguns , and crossbows—as they inch toward the stake-wall of Caesar 's compound in an attempt to bust through , only to be met with deadly clumps of Amazonian arrows and smoky flung projectiles .	To include in surrounding matter .	verb	hypernym-based	After some unnecessary , producer-pleasing expository text , he opens the movie in close-up on the back of a camo combat helmet Sharpied in Vietnam-style graffiti , effectively embedding the viewer with a bedraggled squad of human soldiers—armed with assault rifles , sawed-off shotguns , and crossbows—as they inch toward the stake-wall of Caesar 's compound in an attempt to bust through , only to be met with deadly clumps of Amazonian arrows and smoky flung projectiles . What is the definition of embed?	To enclose or enclose in a particular place or situation.
en.trial.7	schooner	Foaming schooners of beer grew ever larger and more numerous as the crimson February suns went to their rest .	A glass of beer , of a size which varies between states ( Wikipedia ) .	noun	hypernym-based	Foaming schooners of beer grew ever larger and more numerous as the crimson February suns went to their rest . What is the definition of schooner?	A large, heavy, heavy, or heavy vessel, especially one used for drinking.
en.trial.8	stalwart	For observe , it was an assemblage of two hundred thousand young men—not simpering , dainty , kid-gloved weaklings , but stalwart , muscular , dauntless young braves , brimful of push and energy , and royally endowed with every attribute that goes to make up a peerless and magnificent manhood—the very pick and choice of the world 's glorious ones .	Firmly or solidly built .	adjective	paraphrastic	For observe , it was an assemblage of two hundred thousand young men—not simpering , dainty , kid-gloved weaklings , but stalwart , muscular , dauntless young braves , brimful of push and energy , and royally endowed with every attribute that goes to make up a peerless and magnificent manhood—the very pick and choice of the world 's glorious ones . What is the definition of stalwart?	Strong and reliable ; dependable.
en.trial.9	nonexistent	His social skills are nonexistent : he chewed with his mouth open all through dinner .	Not existent ; not real .	adjective	synonym/antonym-based	His social skills are nonexistent : he chewed with his mouth open all through dinner . What is the definition of nonexistent?	Not existing ; not existing.
en.trial.10	fiber	The cloth is made from strange , somewhat rough fiber .	A material in the form of fibers .	noun	hypernym-based	The cloth is made from strange , somewhat rough fiber . What is the definition of fiber?	A material made of a variety of different materials, such as wool, cotton, etc.
en.trial.11	scraggy	He is twenty years younger , but has something of the same spare , scraggy physique .	Lean or thin , scrawny .	adjective	synonym/antonym-based	He is twenty years younger , but has something of the same spare , scraggy physique . What is the definition of scraggy?	Having a scraggio.
en.trial.12	candlestick	Caught there on a candlesticked overhang of ice , Quaid turned to peer down at his buddy .	To form a tall , thin , tapering shape similar to a candle .	verb	hypernym-based	Caught there on a candlesticked overhang of ice , Quaid turned to peer down at his buddy . What is the definition of candlestick?	To hang a candle on.
en.trial.13	pattern	There were no files matching the pattern * .txt .	A text string containing wildcards , used for matching .	noun	hypernym-based	There were no files matching the pattern * .txt . What is the definition of pattern?	A set of data elements that can be used to identify a file.
en.trial.14	seat	There are two hundred seats in this classroom .	A place in which to sit .	noun	hypernym-based	There are two hundred seats in this classroom . What is the definition of seat?	A unit of capacity for a person or group, especially one used for sitting.
en.trial.15	coco	I turn round and round to see the high mountains , the thick coco trees .	Coconut palm .	noun	synonym/antonym-based	I turn round and round to see the high mountains , the thick coco trees . What is the definition of coco?	A tropical tree of the genus Coco, with a slender trunk and a slender trunk.
en.trial.16	obtain	His mother then is mortal , but his Sire / He who obtains the monarchy of Heav'n , / And what will he not do to advance his Son ?	To hold ; to keep , possess or occupy .	verb	synonym/antonym-based	His mother then is mortal , but his Sire / He who obtains the monarchy of Heav'n , / And what will he not do to advance his Son ? What is the definition of obtain?	To gain, to gain, to gain.
en.trial.17	mayonnaise	I grew up thinking that the blue and white Miracle Whip salad dressing jar in the fridge held the same substance the rest of the world knew as mayonnaise . / Now I know that mayonnaise is something entirely different .	A dressing made from vegetable oil , raw egg yolks and seasoning , used on salads , with french fries , in sandwiches etc .	noun	hypernym-based	I grew up thinking that the blue and white Miracle Whip salad dressing jar in the fridge held the same substance the rest of the world knew as mayonnaise . / Now I know that mayonnaise is something entirely different . What is the definition of mayonnaise?	A dressing made from mayonnaisé.
en.trial.18	rogue	`` ... No rogue e'er felt the halter draw , with a good opinion of the law , and perhaps my own detestation of the law arises from my having frequently broken it . [ ... ] ''	A scoundrel , rascal or unprincipled , deceitful , and unreliable person .	noun	hypernym-based	`` ... No rogue e'er felt the halter draw , with a good opinion of the law , and perhaps my own detestation of the law arises from my having frequently broken it . [ ... ] '' What is the definition of rogue?	A person who rooks or rooks.
en.trial.19	flare	During assembly of a flare tube fitting , a flare nut is used to secure the flared tubing 's tapered end to the also tapered fitting , producing a pressure-resistant , leak-tight seal .	A widening of an object with an otherwise roughly constant width .	noun	hypernym-based	During assembly of a flare tube fitting , a flare nut is used to secure the flared tubing 's tapered end to the also tapered fitting , producing a pressure-resistant , leak-tight seal . What is the definition of flare?	To form a ring or ringlets with a curved surface.
en.trial.20	borderline	I expected him to be super boring but he was actually borderline funny !	nearly ; not entirely but nevertheless to a great extent	adverb	synonym/antonym-based;paraphrastic	I expected him to be super boring but he was actually borderline funny ! What is the definition of borderline?	Nearly ; almost.
en.trial.21	coal	Just as the camp-fire died down to just coals , with no flames to burn the marshmallows , someone dumped a whole load of wood on , so I gave up and went to bed .	A glowing or charred piece of coal , wood , or other solid fuel .	noun	hypernym-based	Just as the camp-fire died down to just coals , with no flames to burn the marshmallows , someone dumped a whole load of wood on , so I gave up and went to bed . What is the definition of coal?	A piece of wood or other material used for burning, especially in a campfire.
en.trial.22	clumsy	It is a clumsy solution , but it might work for now .	Not elegant or well-planned , lacking tact or subtlety .	adjective	paraphrastic	It is a clumsy solution , but it might work for now . What is the definition of clumsy?	Having difficulty in handling or executing something.
en.trial.23	melee	Within this melee of intersections between English and Cantonese , the students , being themselves bilingually fluent , were able to navigate with perfect ease in communicative contexts where the provenance of a certain term or expression matters little .	Any confused , disorganised , disordered or chaotic situation .	noun	hypernym-based	Within this melee of intersections between English and Cantonese , the students , being themselves bilingually fluent , were able to navigate with perfect ease in communicative contexts where the provenance of a certain term or expression matters little . What is the definition of melee?	A large, chaotic, or tangled group of people or things.
en.trial.24	ulterior	Both citerior and ulterior locations ( and corresponding contact locations ) are marked similarly . Complex prepositions with mua 'front ' and tua 'back ' can denote citerior and ulterior locations respectively , while tafa 'side ' can denote either citerior or ulterior locations .	Situated beyond , or on the farther side .	adjective	paraphrastic	Both citerior and ulterior locations ( and corresponding contact locations ) are marked similarly . Complex prepositions with mua 'front ' and tua 'back ' can denote citerior and ulterior locations respectively , while tafa 'side ' can denote either citerior or ulterior locations . What is the definition of ulterior?	Beyond the climax.
en.trial.25	lemony	We were served a lemony cheesecake for dessert .	Resembling or characteristic of lemons , especially in terms of aroma , taste or colour .	adjective	morphological	We were served a lemony cheesecake for dessert . What is the definition of lemony?	Of or pertaining to lemons.
en.trial.26	lull	To lull him soft a sleepe	To cause to rest by soothing influences ; to compose ; to calm	verb	paraphrastic;synonym/antonym-based	To lull him soft a sleepe What is the definition of lull?	To make quiet or quieter ; to calm ; to calm.
en.trial.27	belt	He belted down a shot of whisky .	To drink quickly , often in gulps .	verb	hypernym-based	He belted down a shot of whisky . What is the definition of belt?	To drink heavily.
en.trial.28	triangulation	Even though triangulation is used in quantitative paradigm for confirmation and generalization of a research , Barbour ( 1998 ) does not disregard the notion of triangulation in qualitative paradigm and she states the need to define triangulation from a qualitative research 's perspective in each paradigm . For example , in using triangulation of several data sources in quantitative research , any exception may lead to a disconfirmation of the hypothesis where exceptions in qualitative research are dealt to modify the theories and are fruitful .	The use of three ( or more ) researchers to interview the same people or to evaluate the same evidence to reduce the impact of individual bias .	noun	paraphrastic	Even though triangulation is used in quantitative paradigm for confirmation and generalization of a research , Barbour ( 1998 ) does not disregard the notion of triangulation in qualitative paradigm and she states the need to define triangulation from a qualitative research 's perspective in each paradigm . For example , in using triangulation of several data sources in quantitative research , any exception may lead to a disconfirmation of the hypothesis where exceptions in qualitative research are dealt to modify the theories and are fruitful . What is the definition of triangulation?	The act of arranging or arranging in three dimensions.
en.trial.29	bully	a bully horse	Very good .	adjective	paraphrastic	a bully horse What is the definition of bully?	Having a strong, slender body.
en.trial.30	forgiving	And I receive your forgiveness only from you . A group 's promises and forgivings are nothing more than the sum of its individual members ' promises and forgivings .	An act of forgiveness .	noun	hypernym-based	And I receive your forgiveness only from you . A group 's promises and forgivings are nothing more than the sum of its individual members ' promises and forgivings . What is the definition of forgiving?	The act of forbearing ; forgiveness.
en.trial.31	maggot	Drop and give me fifty , maggot .	A worthless person .	noun	hypernym-based	Drop and give me fifty , maggot . What is the definition of maggot?	A small amount of money.
en.trial.32	timid	John 's a very timid person . I 'll doubt he 'll be brave enough to face his brother .	Lacking in courage or confidence .	adjective	paraphrastic	John 's a very timid person . I 'll doubt he 'll be brave enough to face his brother . What is the definition of timid?	Not brave ; not willing to face danger or danger.
en.trial.33	dead	He stopped dead .	Suddenly and completely .	adverb	synonym/antonym-based	He stopped dead . What is the definition of dead?	Without a moment ; without pause.
en.trial.34	sophistication	the sophistication of drugs	The act of sophisticating ; adulteration .	noun	Hypernym-based;synonym/antonym-based	the sophistication of drugs What is the definition of sophistication?	the quality of being advanced or advanced
en.trial.35	dentistry	Some provision should be made for the truly suffering poor , and also for our present students of dentistry to learn something about dental surgery before commencing a profession which has almost become a science .	The field of medicine concerned with the study , diagnosis and treatment of conditions of the teeth and oral cavity .	noun	hypernym-based	Some provision should be made for the truly suffering poor , and also for our present students of dentistry to learn something about dental surgery before commencing a profession which has almost become a science . What is the definition of dentistry?	The branch of science that deals with the treatment of teeth.
en.trial.36	layover	We had a layover while waiting to change planes , so we stretched our legs .	A break between stages of a journey .	noun	hypernym-based	We had a layover while waiting to change planes , so we stretched our legs . What is the definition of layover?	A period of time during which a flight is delayed.
en.trial.37	forrard	The old chap who had just come off the look-out , had returned forrard again , and I was alone on that part of the deck .	Forward .	adverb	synonym/antonym-based	The old chap who had just come off the look-out , had returned forrard again , and I was alone on that part of the deck . What is the definition of forrard?	A fortified fortress.
